XC,YC,ZC,Primary,Secondary
0.5,0.5,0.5,2.26,3.26
1.5,0.5,0.5,3.28,2.64
2.5,0.5,0.5,2.8,2.15
3.5,0.5,0.5,0.95,1.69
4.5,0.5,0.5,0.12,0.51
5.5,0.5,0.5,0.13,0.27
6.5,0.5,0.5,0.39,0.16
7.5,0.5,0.5,0.24,0.31
8.5,0.5,0.5,0.3,0.39
9.5,0.5,0.5,0.22,0.4
10.5,0.5,0.5,0.18,0.42
11.5,0.5,0.5,0.26,0.42
12.5,0.5,0.5,0.55,0.3
13.5,0.5,0.5,0.12,0.25
14.5,0.5,0.5,0.44,0.32
15.5,0.5,0.5,0.14,0.57
16.5,0.5,0.5,0.5,0.61
17.5,0.5,0.5,0.82,0.64
18.5,0.5,0.5,0.51,0.69
19.5,0.5,0.5,0.73,0.65
20.5,0.5,0.5,0.36,0.46
21.5,0.5,0.5,0.16,0.42
22.5,0.5,0.5,0.1,0.47
23.5,0.5,0.5,0.47,0.49
24.5,0.5,0.5,0.52,0.6
25.5,0.5,0.5,0.29,0.66
26.5,0.5,0.5,0.98,0.94
27.5,0.5,0.5,2.14,1.44
28.5,0.5,0.5,1.31,1.85
29.5,0.5,0.5,1.97,2.22
30.5,0.5,0.5,4.18,2.84
31.5,0.5,0.5,3.3,2.72
32.5,0.5,0.5,1.77,2.2
33.5,0.5,0.5,0.68,1.73
34.5,0.5,0.5,0.13,1.26
35.5,0.5,0.5,0.54,0.65
36.5,0.5,0.5,0.56,0.61
37.5,0.5,0.5,0.38,0.69
38.5,0.5,0.5,1.15,0.9
39.5,0.5,0.5,1.55,0.94
40.5,0.5,0.5,0.24,0.87
41.5,0.5,0.5,0.18,0.77
42.5,0.5,0.5,0.09,0.66
43.5,0.5,0.5,0.16,0.47
44.5,0.5,0.5,0.09,0.67
45.5,0.5,0.5,0.83,1.02
46.5,0.5,0.5,0.56,1.71
47.5,0.5,0.5,0.31,2.88
48.5,0.5,0.5,0.95,3.5
49.5,0.5,0.5,1.08,4.15
0.5,1.5,0.5,4.65,2.84
1.5,1.5,0.5,1.64,2.32
2.5,1.5,0.5,3.33,1.89
3.5,1.5,0.5,0.66,1.51
4.5,1.5,0.5,0.17,0.56
5.5,1.5,0.5,0.06,0.28
6.5,1.5,0.5,0.12,0.17
7.5,1.5,0.5,0.16,0.3
8.5,1.5,0.5,0.55,0.36
9.5,1.5,0.5,0.56,0.37
10.5,1.5,0.5,0.83,0.38
11.5,1.5,0.5,0.35,0.37
12.5,1.5,0.5,0.32,0.27
13.5,1.5,0.5,0.11,0.23
14.5,1.5,0.5,0.48,0.27
15.5,1.5,0.5,0.16,0.47
16.5,1.5,0.5,0.19,0.5
17.5,1.5,0.5,0.23,0.52
18.5,1.5,0.5,0.17,0.55
19.5,1.5,0.5,0.21,0.52
20.5,1.5,0.5,0.09,0.39
21.5,1.5,0.5,0.14,0.36
22.5,1.5,0.5,0.19,0.42
23.5,1.5,0.5,0.45,0.48
24.5,1.5,0.5,0.88,0.61
25.5,1.5,0.5,1.15,0.77
26.5,1.5,0.5,0.89,1.01
27.5,1.5,0.5,0.87,1.43
28.5,1.5,0.5,1.94,1.78
29.5,1.5,0.5,2.49,2.08
30.5,1.5,0.5,4.7,2.51
31.5,1.5,0.5,4.22,2.46
32.5,1.5,0.5,1.85,2.04
33.5,1.5,0.5,1.12,1.65
34.5,1.5,0.5,0.15,1.27
35.5,1.5,0.5,0.24,0.72
36.5,1.5,0.5,0.22,0.63
37.5,1.5,0.5,0.23,0.69
38.5,1.5,0.5,0.77,0.83
39.5,1.5,0.5,0.84,0.88
40.5,1.5,0.5,0.23,0.85
41.5,1.5,0.5,0.11,0.8
42.5,1.5,0.5,0.15,0.68
43.5,1.5,0.5,0.03,0.56
44.5,1.5,0.5,0.04,0.7
45.5,1.5,0.5,0.17,1.15
46.5,1.5,0.5,0.9,1.82
47.5,1.5,0.5,4.57,3.41
48.5,1.5,0.5,3.49,4.14
49.5,1.5,0.5,2.35,5.03
0.5,2.5,0.5,1.63,2.65
1.5,2.5,0.5,2.17,2.18
2.5,2.5,0.5,1.14,1.83
3.5,2.5,0.5,0.56,1.5
4.5,2.5,0.5,0.17,0.66
5.5,2.5,0.5,0.05,0.37
6.5,2.5,0.5,0.17,0.29
7.5,2.5,0.5,0.2,0.34
8.5,2.5,0.5,0.22,0.36
9.5,2.5,0.5,0.19,0.34
10.5,2.5,0.5,0.64,0.35
11.5,2.5,0.5,0.05,0.31
12.5,2.5,0.5,0.19,0.23
13.5,2.5,0.5,0.16,0.22
14.5,2.5,0.5,0.22,0.25
15.5,2.5,0.5,0.19,0.41
16.5,2.5,0.5,0.09,0.44
17.5,2.5,0.5,0.21,0.45
18.5,2.5,0.5,0.12,0.47
19.5,2.5,0.5,0.06,0.45
20.5,2.5,0.5,0.1,0.34
21.5,2.5,0.5,0.25,0.34
22.5,2.5,0.5,0.08,0.49
23.5,2.5,0.5,0.12,0.58
24.5,2.5,0.5,0.68,0.71
25.5,2.5,0.5,0.8,0.91
26.5,2.5,0.5,0.75,1.12
27.5,2.5,0.5,1.94,1.44
28.5,2.5,0.5,6.61,1.7
29.5,2.5,0.5,3.2,1.93
30.5,2.5,0.5,5.25,2.27
31.5,2.5,0.5,6.45,2.23
32.5,2.5,0.5,1.05,1.85
33.5,2.5,0.5,2.49,1.51
34.5,2.5,0.5,0.11,1.21
35.5,2.5,0.5,0.01,0.71
36.5,2.5,0.5,0.2,0.62
37.5,2.5,0.5,0.24,0.66
38.5,2.5,0.5,0.15,0.8
39.5,2.5,0.5,0.7,0.87
40.5,2.5,0.5,0.72,0.9
41.5,2.5,0.5,0.33,0.88
42.5,2.5,0.5,0.27,0.78
43.5,2.5,0.5,0.16,0.65
44.5,2.5,0.5,0.04,0.73
45.5,2.5,0.5,0.5,1.13
46.5,2.5,0.5,0.88,1.7
47.5,2.5,0.5,1.42,3.05
48.5,2.5,0.5,4.66,3.69
49.5,2.5,0.5,2.83,4.48
0.5,3.5,0.5,1.34,3.07
1.5,3.5,0.5,7.14,2.61
2.5,3.5,0.5,4.02,2.27
3.5,3.5,0.5,0.21,1.96
4.5,3.5,0.5,0.22,0.98
5.5,3.5,0.5,0.46,0.69
6.5,3.5,0.5,0.27,0.54
7.5,3.5,0.5,0.22,0.44
8.5,3.5,0.5,0.23,0.37
9.5,3.5,0.5,0.37,0.33
10.5,3.5,0.5,0.14,0.31
11.5,3.5,0.5,0.12,0.24
12.5,3.5,0.5,0.02,0.19
13.5,3.5,0.5,0.19,0.18
14.5,3.5,0.5,0.11,0.17
15.5,3.5,0.5,0.1,0.21
16.5,3.5,0.5,0.15,0.22
17.5,3.5,0.5,0.09,0.21
18.5,3.5,0.5,0.12,0.2
19.5,3.5,0.5,0.06,0.22
20.5,3.5,0.5,0.08,0.26
21.5,3.5,0.5,0.1,0.3
22.5,3.5,0.5,0.03,0.55
23.5,3.5,0.5,0.09,0.72
24.5,3.5,0.5,0.32,0.84
25.5,3.5,0.5,1.42,1.03
26.5,3.5,0.5,1.04,1.15
27.5,3.5,0.5,1.91,1.21
28.5,3.5,0.5,2.8,1.4
29.5,3.5,0.5,6.01,1.53
30.5,3.5,0.5,2.14,1.66
31.5,3.5,0.5,2.37,1.68
32.5,3.5,0.5,0.47,1.48
33.5,3.5,0.5,0.46,1.19
34.5,3.5,0.5,0.13,0.99
35.5,3.5,0.5,0.33,0.67
36.5,3.5,0.5,0.19,0.57
37.5,3.5,0.5,0.21,0.58
38.5,3.5,0.5,0.42,0.68
39.5,3.5,0.5,0.71,0.76
40.5,3.5,0.5,0.25,0.85
41.5,3.5,0.5,0.42,0.91
42.5,3.5,0.5,0.4,0.89
43.5,3.5,0.5,0.22,0.84
44.5,3.5,0.5,0.07,0.85
45.5,3.5,0.5,0.55,1.15
46.5,3.5,0.5,0.35,1.65
47.5,3.5,0.5,0.66,2.83
48.5,3.5,0.5,1.08,3.35
49.5,3.5,0.5,1.68,4.13
0.5,4.5,0.5,0.94,4.02
1.5,4.5,0.5,4.57,3.72
2.5,4.5,0.5,4.3,3.37
3.5,4.5,0.5,2.59,2.64
4.5,4.5,0.5,0.95,1.75
5.5,4.5,0.5,0.83,1.34
6.5,4.5,0.5,0.17,0.92
7.5,4.5,0.5,0.28,0.57
8.5,4.5,0.5,0.27,0.45
9.5,4.5,0.5,0.32,0.39
10.5,4.5,0.5,0.49,0.32
11.5,4.5,0.5,0.05,0.21
12.5,4.5,0.5,0.09,0.18
13.5,4.5,0.5,0.08,0.16
14.5,4.5,0.5,0.09,0.16
15.5,4.5,0.5,0.08,0.18
16.5,4.5,0.5,0.03,0.19
17.5,4.5,0.5,0.03,0.2
18.5,4.5,0.5,0.15,0.19
19.5,4.5,0.5,0.09,0.21
20.5,4.5,0.5,0.05,0.28
21.5,4.5,0.5,0.22,0.35
22.5,4.5,0.5,0.19,0.62
23.5,4.5,0.5,0.16,0.87
24.5,4.5,0.5,0.32,1.12
25.5,4.5,0.5,1.81,1.37
26.5,4.5,0.5,1.69,1.63
27.5,4.5,0.5,2.52,1.81
28.5,4.5,0.5,1.61,2.13
29.5,4.5,0.5,4.2,2.22
30.5,4.5,0.5,5.51,2.22
31.5,4.5,0.5,3.52,2.03
32.5,4.5,0.5,0.41,1.69
33.5,4.5,0.5,0.5,1.19
34.5,4.5,0.5,0.26,0.89
35.5,4.5,0.5,0.02,0.6
36.5,4.5,0.5,0.09,0.49
37.5,4.5,0.5,0.14,0.49
38.5,4.5,0.5,0.26,0.56
39.5,4.5,0.5,0.22,0.66
40.5,4.5,0.5,0.18,0.83
41.5,4.5,0.5,0.09,1.04
42.5,4.5,0.5,2.06,1.14
43.5,4.5,0.5,0.33,1.14
44.5,4.5,0.5,0.8,1.13
45.5,4.5,0.5,1.51,1.38
46.5,4.5,0.5,0.34,1.69
47.5,4.5,0.5,0.47,2.71
48.5,4.5,0.5,3.32,3.17
49.5,4.5,0.5,11.24,3.91
0.5,5.5,0.5,1.41,6.32
1.5,5.5,0.5,1.97,6.72
2.5,5.5,0.5,4.37,5.93
3.5,5.5,0.5,1.21,4.53
4.5,5.5,0.5,0.72,3.53
5.5,5.5,0.5,3.68,2.82
6.5,5.5,0.5,0.75,1.38
7.5,5.5,0.5,0.48,0.87
8.5,5.5,0.5,0.3,0.64
9.5,5.5,0.5,0.45,0.46
10.5,5.5,0.5,0.65,0.35
11.5,5.5,0.5,0.23,0.24
12.5,5.5,0.5,0.14,0.23
13.5,5.5,0.5,0.09,0.21
14.5,5.5,0.5,0.1,0.19
15.5,5.5,0.5,0.09,0.19
16.5,5.5,0.5,0.01,0.19
17.5,5.5,0.5,0.09,0.19
18.5,5.5,0.5,0.28,0.18
19.5,5.5,0.5,0.33,0.21
20.5,5.5,0.5,0.18,0.3
21.5,5.5,0.5,0.19,0.59
22.5,5.5,0.5,0.26,0.98
23.5,5.5,0.5,0.7,1.31
24.5,5.5,0.5,2.29,1.78
25.5,5.5,0.5,3.1,2.08
26.5,5.5,0.5,2.12,2.27
27.5,5.5,0.5,0.84,2.32
28.5,5.5,0.5,4.61,2.48
29.5,5.5,0.5,4.83,2.41
30.5,5.5,0.5,9.14,2.24
31.5,5.5,0.5,2.63,1.88
32.5,5.5,0.5,0.77,1.54
33.5,5.5,0.5,0.57,1.12
34.5,5.5,0.5,0.16,0.76
35.5,5.5,0.5,0.02,0.55
36.5,5.5,0.5,0.08,0.41
37.5,5.5,0.5,0.04,0.38
38.5,5.5,0.5,0.08,0.4
39.5,5.5,0.5,0.39,0.56
40.5,5.5,0.5,0.68,0.82
41.5,5.5,0.5,0.78,1.12
42.5,5.5,0.5,1.65,1.31
43.5,5.5,0.5,0.58,1.44
44.5,5.5,0.5,1.46,1.48
45.5,5.5,0.5,1.33,1.71
46.5,5.5,0.5,0.72,1.79
47.5,5.5,0.5,0.68,2.45
48.5,5.5,0.5,0.93,2.76
49.5,5.5,0.5,2.72,3.16
0.5,6.5,0.5,54.39,12.13
1.5,6.5,0.5,7.45,11.41
2.5,6.5,0.5,4.91,9.78
3.5,6.5,0.5,2.77,5.94
4.5,6.5,0.5,6.7,4.31
5.5,6.5,0.5,1.56,3.33
6.5,6.5,0.5,2.95,1.63
7.5,6.5,0.5,1.6,1.03
8.5,6.5,0.5,0.85,0.79
9.5,6.5,0.5,0.2,0.58
10.5,6.5,0.5,0.5,0.41
11.5,6.5,0.5,0.24,0.31
12.5,6.5,0.5,0.19,0.29
13.5,6.5,0.5,0.16,0.23
14.5,6.5,0.5,0.36,0.21
15.5,6.5,0.5,0.6,0.21
16.5,6.5,0.5,0.18,0.21
17.5,6.5,0.5,0.27,0.21
18.5,6.5,0.5,0.34,0.23
19.5,6.5,0.5,0.17,0.31
20.5,6.5,0.5,0.57,0.45
21.5,6.5,0.5,0.56,0.82
22.5,6.5,0.5,0.32,1.39
23.5,6.5,0.5,1.5,1.74
24.5,6.5,0.5,0.93,2.15
25.5,6.5,0.5,1.15,2.32
26.5,6.5,0.5,1.35,2.48
27.5,6.5,0.5,3.09,2.35
28.5,6.5,0.5,2.14,2.42
29.5,6.5,0.5,2.72,2.37
30.5,6.5,0.5,5.27,2.27
31.5,6.5,0.5,14.63,1.84
32.5,6.5,0.5,1.41,1.46
33.5,6.5,0.5,1.8,1.06
34.5,6.5,0.5,0.12,0.64
35.5,6.5,0.5,0.21,0.46
36.5,6.5,0.5,0.23,0.32
37.5,6.5,0.5,0.04,0.29
38.5,6.5,0.5,0.1,0.34
39.5,6.5,0.5,0.33,0.54
40.5,6.5,0.5,0.25,0.81
41.5,6.5,0.5,0.96,1.1
42.5,6.5,0.5,0.89,1.41
43.5,6.5,0.5,2.01,1.56
44.5,6.5,0.5,3.68,1.64
45.5,6.5,0.5,1.89,1.89
46.5,6.5,0.5,1.68,2.0
47.5,6.5,0.5,1.09,2.21
48.5,6.5,0.5,4.62,2.4
49.5,6.5,0.5,6.36,2.61
0.5,7.5,0.5,12.74,14.04
1.5,7.5,0.5,10.18,13.44
2.5,7.5,0.5,23.28,11.62
3.5,7.5,0.5,18.59,7.37
4.5,7.5,0.5,8.56,5.58
5.5,7.5,0.5,1.12,4.13
6.5,7.5,0.5,3.21,2.0
7.5,7.5,0.5,1.03,1.22
8.5,7.5,0.5,0.28,0.97
9.5,7.5,0.5,0.37,0.73
10.5,7.5,0.5,0.26,0.54
11.5,7.5,0.5,0.17,0.41
12.5,7.5,0.5,0.15,0.38
13.5,7.5,0.5,0.32,0.29
14.5,7.5,0.5,0.55,0.25
15.5,7.5,0.5,0.39,0.26
16.5,7.5,0.5,0.22,0.28
17.5,7.5,0.5,0.29,0.3
18.5,7.5,0.5,0.13,0.37
19.5,7.5,0.5,0.25,0.45
20.5,7.5,0.5,0.11,0.76
21.5,7.5,0.5,0.17,1.35
22.5,7.5,0.5,0.28,1.89
23.5,7.5,0.5,0.71,2.13
24.5,7.5,0.5,1.16,2.58
25.5,7.5,0.5,0.81,2.5
26.5,7.5,0.5,1.56,2.39
27.5,7.5,0.5,1.03,2.21
28.5,7.5,0.5,1.9,2.44
29.5,7.5,0.5,2.31,2.35
30.5,7.5,0.5,1.48,2.27
31.5,7.5,0.5,5.59,1.87
32.5,7.5,0.5,1.48,1.5
33.5,7.5,0.5,0.92,0.99
34.5,7.5,0.5,0.73,0.58
35.5,7.5,0.5,0.15,0.41
36.5,7.5,0.5,0.32,0.29
37.5,7.5,0.5,0.04,0.27
38.5,7.5,0.5,0.12,0.31
39.5,7.5,0.5,0.12,0.47
40.5,7.5,0.5,0.19,0.75
41.5,7.5,0.5,0.34,1.03
42.5,7.5,0.5,0.48,1.34
43.5,7.5,0.5,0.84,1.61
44.5,7.5,0.5,1.28,1.85
45.5,7.5,0.5,3.24,2.15
46.5,7.5,0.5,5.32,2.3
47.5,7.5,0.5,3.46,2.55
48.5,7.5,0.5,10.61,2.7
49.5,7.5,0.5,13.84,2.79
0.5,8.5,0.5,6.49,14.95
1.5,8.5,0.5,20.35,14.1
2.5,8.5,0.5,8.9,12.32
3.5,8.5,0.5,16.11,7.59
4.5,8.5,0.5,3.46,6.1
5.5,8.5,0.5,2.7,4.68
6.5,8.5,0.5,1.9,2.58
7.5,8.5,0.5,0.23,1.63
8.5,8.5,0.5,0.6,1.24
9.5,8.5,0.5,1.48,0.83
10.5,8.5,0.5,0.34,0.58
11.5,8.5,0.5,0.1,0.46
12.5,8.5,0.5,0.08,0.43
13.5,8.5,0.5,0.42,0.36
14.5,8.5,0.5,1.02,0.34
15.5,8.5,0.5,0.6,0.35
16.5,8.5,0.5,0.2,0.37
17.5,8.5,0.5,0.47,0.42
18.5,8.5,0.5,0.85,0.5
19.5,8.5,0.5,0.45,0.61
20.5,8.5,0.5,0.39,1.02
21.5,8.5,0.5,0.47,1.64
22.5,8.5,0.5,0.91,2.11
23.5,8.5,0.5,1.09,2.34
24.5,8.5,0.5,2.12,2.73
25.5,8.5,0.5,1.28,2.49
26.5,8.5,0.5,1.7,2.29
27.5,8.5,0.5,0.64,2.07
28.5,8.5,0.5,0.87,2.25
29.5,8.5,0.5,2.68,2.12
30.5,8.5,0.5,3.02,2.07
31.5,8.5,0.5,6.69,1.74
32.5,8.5,0.5,1.84,1.46
33.5,8.5,0.5,2.6,0.97
34.5,8.5,0.5,0.25,0.64
35.5,8.5,0.5,0.4,0.54
36.5,8.5,0.5,0.16,0.39
37.5,8.5,0.5,0.11,0.37
38.5,8.5,0.5,0.09,0.42
39.5,8.5,0.5,0.34,0.56
40.5,8.5,0.5,0.22,0.77
41.5,8.5,0.5,0.66,1.05
42.5,8.5,0.5,0.31,1.39
43.5,8.5,0.5,1.43,1.66
44.5,8.5,0.5,4.13,3.63
45.5,8.5,0.5,2.31,4.27
46.5,8.5,0.5,7.91,4.45
47.5,8.5,0.5,3.92,4.89
48.5,8.5,0.5,6.32,5.62
49.5,8.5,0.5,5.68,3.78
0.5,9.5,0.5,15.77,22.46
1.5,9.5,0.5,7.56,19.74
2.5,9.5,0.5,6.26,17.02
3.5,9.5,0.5,7.92,12.02
4.5,9.5,0.5,8.98,7.33
5.5,9.5,0.5,1.26,5.27
6.5,9.5,0.5,1.13,3.15
7.5,9.5,0.5,1.46,2.05
8.5,9.5,0.5,2.33,1.42
9.5,9.5,0.5,0.81,0.86
10.5,9.5,0.5,0.32,0.64
11.5,9.5,0.5,0.19,0.56
12.5,9.5,0.5,0.09,0.51
13.5,9.5,0.5,0.23,0.42
14.5,9.5,0.5,1.05,0.43
15.5,9.5,0.5,0.25,0.45
16.5,9.5,0.5,0.47,0.48
17.5,9.5,0.5,0.27,0.54
18.5,9.5,0.5,1.16,0.67
19.5,9.5,0.5,0.33,0.85
20.5,9.5,0.5,0.79,1.31
21.5,9.5,0.5,1.57,2.11
22.5,9.5,0.5,1.12,2.55
23.5,9.5,0.5,5.94,2.67
24.5,9.5,0.5,1.38,2.82
25.5,9.5,0.5,0.79,2.43
26.5,9.5,0.5,0.58,1.8
27.5,9.5,0.5,0.42,1.4
28.5,9.5,0.5,1.13,1.38
29.5,9.5,0.5,2.07,1.26
30.5,9.5,0.5,1.7,1.29
31.5,9.5,0.5,1.57,1.23
32.5,9.5,0.5,0.96,1.14
33.5,9.5,0.5,0.7,0.93
34.5,9.5,0.5,0.33,0.74
35.5,9.5,0.5,0.44,0.63
36.5,9.5,0.5,1.28,0.47
37.5,9.5,0.5,0.26,0.47
38.5,9.5,0.5,0.09,0.56
39.5,9.5,0.5,0.5,0.71
40.5,9.5,0.5,0.35,0.9
41.5,9.5,0.5,0.25,1.06
42.5,9.5,0.5,0.74,1.33
43.5,9.5,0.5,0.71,1.68
44.5,9.5,0.5,0.79,4.23
45.5,9.5,0.5,0.72,5.28
46.5,9.5,0.5,2.0,6.04
47.5,9.5,0.5,3.83,6.83
48.5,9.5,0.5,2.76,7.88
49.5,9.5,0.5,6.71,5.79
0.5,10.5,0.5,26.66,21.33
1.5,10.5,0.5,3.68,18.09
2.5,10.5,0.5,2.55,15.91
3.5,10.5,0.5,3.22,11.5
4.5,10.5,0.5,6.83,6.66
5.5,10.5,0.5,12.34,4.84
6.5,10.5,0.5,18.71,3.36
7.5,10.5,0.5,4.54,2.07
8.5,10.5,0.5,1.2,1.25
9.5,10.5,0.5,0.64,0.81
10.5,10.5,0.5,0.85,0.63
11.5,10.5,0.5,0.38,0.54
12.5,10.5,0.5,0.27,0.48
13.5,10.5,0.5,0.2,0.43
14.5,10.5,0.5,0.34,0.46
15.5,10.5,0.5,0.36,0.51
16.5,10.5,0.5,0.26,0.72
17.5,10.5,0.5,0.29,0.92
18.5,10.5,0.5,0.56,1.08
19.5,10.5,0.5,1.01,1.41
20.5,10.5,0.5,0.65,1.87
21.5,10.5,0.5,1.21,2.29
22.5,10.5,0.5,2.52,2.48
23.5,10.5,0.5,6.27,2.45
24.5,10.5,0.5,0.94,2.21
25.5,10.5,0.5,0.81,1.74
26.5,10.5,0.5,0.67,1.12
27.5,10.5,0.5,0.3,0.8
28.5,10.5,0.5,0.18,0.83
29.5,10.5,0.5,0.24,0.81
30.5,10.5,0.5,0.63,0.9
31.5,10.5,0.5,0.4,1.05
32.5,10.5,0.5,0.53,0.98
33.5,10.5,0.5,0.59,0.82
34.5,10.5,0.5,0.65,0.76
35.5,10.5,0.5,0.96,0.67
36.5,10.5,0.5,0.61,0.49
37.5,10.5,0.5,0.77,0.53
38.5,10.5,0.5,0.44,0.61
39.5,10.5,0.5,0.29,0.68
40.5,10.5,0.5,0.99,0.78
41.5,10.5,0.5,0.49,0.91
42.5,10.5,0.5,1.84,1.15
43.5,10.5,0.5,2.47,1.8
44.5,10.5,0.5,2.06,4.48
45.5,10.5,0.5,1.19,5.67
46.5,10.5,0.5,2.59,6.62
47.5,10.5,0.5,6.45,7.64
48.5,10.5,0.5,4.32,8.52
49.5,10.5,0.5,10.4,6.54
0.5,11.5,0.5,40.57,17.6
1.5,11.5,0.5,28.44,15.12
2.5,11.5,0.5,7.33,13.61
3.5,11.5,0.5,8.44,11.51
4.5,11.5,0.5,3.22,6.65
5.5,11.5,0.5,8.92,4.95
6.5,11.5,0.5,2.18,3.62
7.5,11.5,0.5,0.71,2.23
8.5,11.5,0.5,0.64,1.16
9.5,11.5,0.5,0.36,0.73
10.5,11.5,0.5,0.44,0.6
11.5,11.5,0.5,0.25,0.51
12.5,11.5,0.5,0.37,0.49
13.5,11.5,0.5,0.14,0.5
14.5,11.5,0.5,0.2,0.65
15.5,11.5,0.5,0.26,0.84
16.5,11.5,0.5,1.07,1.12
17.5,11.5,0.5,0.55,1.3
18.5,11.5,0.5,0.32,1.43
19.5,11.5,0.5,1.25,1.61
20.5,11.5,0.5,0.99,1.91
21.5,11.5,0.5,0.54,2.17
22.5,11.5,0.5,1.34,2.15
23.5,11.5,0.5,1.73,2.05
24.5,11.5,0.5,0.64,1.8
25.5,11.5,0.5,0.25,1.35
26.5,11.5,0.5,0.35,0.73
27.5,11.5,0.5,0.28,0.53
28.5,11.5,0.5,0.28,0.62
29.5,11.5,0.5,0.31,0.57
30.5,11.5,0.5,0.25,0.62
31.5,11.5,0.5,0.13,0.83
32.5,11.5,0.5,0.18,0.87
33.5,11.5,0.5,0.5,0.75
34.5,11.5,0.5,0.43,0.75
35.5,11.5,0.5,1.47,0.7
36.5,11.5,0.5,3.25,0.54
37.5,11.5,0.5,0.68,0.55
38.5,11.5,0.5,0.54,0.59
39.5,11.5,0.5,0.7,0.62
40.5,11.5,0.5,1.05,0.7
41.5,11.5,0.5,0.46,0.83
42.5,11.5,0.5,0.68,1.01
43.5,11.5,0.5,0.95,1.77
44.5,11.5,0.5,2.81,4.65
45.5,11.5,0.5,2.11,5.71
46.5,11.5,0.5,5.65,6.67
47.5,11.5,0.5,3.62,7.63
48.5,11.5,0.5,2.75,8.41
49.5,11.5,0.5,11.21,6.13
0.5,12.5,0.5,23.28,16.76
1.5,12.5,0.5,30.54,13.96
2.5,12.5,0.5,36.89,12.55
3.5,12.5,0.5,11.5,10.73
4.5,12.5,0.5,6.27,5.56
5.5,12.5,0.5,1.63,4.29
6.5,12.5,0.5,1.73,3.35
7.5,12.5,0.5,0.71,2.07
8.5,12.5,0.5,0.37,1.01
9.5,12.5,0.5,0.16,0.62
10.5,12.5,0.5,0.46,0.5
11.5,12.5,0.5,0.32,0.44
12.5,12.5,0.5,0.17,0.52
13.5,12.5,0.5,1.27,0.61
14.5,12.5,0.5,0.27,0.96
15.5,12.5,0.5,0.52,1.4
16.5,12.5,0.5,1.93,1.82
17.5,12.5,0.5,5.4,1.92
18.5,12.5,0.5,2.73,1.94
19.5,12.5,0.5,0.57,1.93
20.5,12.5,0.5,1.1,1.77
21.5,12.5,0.5,0.8,1.64
22.5,12.5,0.5,0.74,1.56
23.5,12.5,0.5,1.27,1.5
24.5,12.5,0.5,0.8,1.2
25.5,12.5,0.5,0.75,0.91
26.5,12.5,0.5,0.2,0.56
27.5,12.5,0.5,0.24,0.41
28.5,12.5,0.5,0.38,0.36
29.5,12.5,0.5,1.11,0.37
30.5,12.5,0.5,0.4,0.41
31.5,12.5,0.5,0.29,0.61
32.5,12.5,0.5,0.72,0.79
33.5,12.5,0.5,0.39,0.81
34.5,12.5,0.5,0.46,0.79
35.5,12.5,0.5,0.32,0.78
36.5,12.5,0.5,1.02,0.62
37.5,12.5,0.5,0.69,0.5
38.5,12.5,0.5,0.35,0.52
