XC,YC,ZC,Primary,Secondary
39.5,12.5,0.5,0.35,0.57
40.5,12.5,0.5,0.47,0.62
41.5,12.5,0.5,0.68,0.77
42.5,12.5,0.5,0.6,1.0
43.5,12.5,0.5,1.0,1.82
44.5,12.5,0.5,3.42,4.69
45.5,12.5,0.5,5.7,5.72
46.5,12.5,0.5,6.76,6.73
47.5,12.5,0.5,1.38,7.66
48.5,12.5,0.5,1.75,8.38
49.5,12.5,0.5,6.76,6.12
0.5,13.5,0.5,5.52,15.66
1.5,13.5,0.5,10.47,13.08
2.5,13.5,0.5,8.71,11.72
3.5,13.5,0.5,38.61,10.25
4.5,13.5,0.5,3.88,4.92
5.5,13.5,0.5,3.7,3.68
6.5,13.5,0.5,0.87,2.73
7.5,13.5,0.5,0.88,1.58
8.5,13.5,0.5,0.43,0.73
9.5,13.5,0.5,0.25,0.51
10.5,13.5,0.5,0.57,0.47
11.5,13.5,0.5,0.31,0.44
12.5,13.5,0.5,1.45,0.69
13.5,13.5,0.5,2.23,0.9
14.5,13.5,0.5,3.99,1.64
15.5,13.5,0.5,4.37,2.26
16.5,13.5,0.5,2.99,2.74
17.5,13.5,0.5,3.68,2.62
18.5,13.5,0.5,2.23,2.48
19.5,13.5,0.5,1.92,2.04
20.5,13.5,0.5,0.29,1.56
21.5,13.5,0.5,1.07,1.32
22.5,13.5,0.5,0.95,1.22
23.5,13.5,0.5,0.82,1.11
24.5,13.5,0.5,0.68,0.84
25.5,13.5,0.5,0.19,0.69
26.5,13.5,0.5,0.15,0.4
27.5,13.5,0.5,0.24,0.31
28.5,13.5,0.5,0.52,0.29
29.5,13.5,0.5,1.71,0.33
30.5,13.5,0.5,0.07,0.37
31.5,13.5,0.5,0.24,0.5
32.5,13.5,0.5,0.27,0.68
33.5,13.5,0.5,1.41,0.71
34.5,13.5,0.5,0.57,0.68
35.5,13.5,0.5,0.41,0.62
36.5,13.5,0.5,0.43,0.5
37.5,13.5,0.5,0.49,0.38
38.5,13.5,0.5,0.11,0.4
39.5,13.5,0.5,0.22,0.47
40.5,13.5,0.5,0.33,0.53
41.5,13.5,0.5,1.08,0.63
42.5,13.5,0.5,1.61,0.78
43.5,13.5,0.5,1.04,1.62
44.5,13.5,0.5,0.83,2.84
45.5,13.5,0.5,2.11,3.62
46.5,13.5,0.5,1.66,4.68
47.5,13.5,0.5,1.95,5.49
48.5,13.5,0.5,1.91,5.67
49.5,13.5,0.5,2.2,5.28
0.5,14.5,0.5,3.44,6.65
1.5,14.5,0.5,5.54,5.92
2.5,14.5,0.5,10.27,5.67
3.5,14.5,0.5,3.61,5.03
4.5,14.5,0.5,0.76,3.07
5.5,14.5,0.5,0.88,2.56
6.5,14.5,0.5,1.19,1.92
7.5,14.5,0.5,0.39,1.05
8.5,14.5,0.5,0.44,0.45
9.5,14.5,0.5,0.26,0.41
10.5,14.5,0.5,2.81,0.38
11.5,14.5,0.5,0.83,0.37
12.5,14.5,0.5,0.35,0.69
13.5,14.5,0.5,1.08,1.08
14.5,14.5,0.5,2.34,2.05
15.5,14.5,0.5,9.03,2.88
16.5,14.5,0.5,6.18,3.35
17.5,14.5,0.5,2.96,3.17
18.5,14.5,0.5,3.54,2.81
19.5,14.5,0.5,0.63,2.04
20.5,14.5,0.5,0.52,1.26
21.5,14.5,0.5,0.22,0.77
22.5,14.5,0.5,0.14,0.65
23.5,14.5,0.5,0.1,0.55
24.5,14.5,0.5,0.17,0.37
25.5,14.5,0.5,0.08,0.32
26.5,14.5,0.5,0.03,0.29
27.5,14.5,0.5,0.09,0.23
28.5,14.5,0.5,0.11,0.26
29.5,14.5,0.5,0.17,0.28
30.5,14.5,0.5,0.06,0.31
31.5,14.5,0.5,0.35,0.38
32.5,14.5,0.5,0.33,0.54
33.5,14.5,0.5,0.2,0.57
34.5,14.5,0.5,0.99,0.52
35.5,14.5,0.5,0.74,0.47
36.5,14.5,0.5,0.22,0.39
37.5,14.5,0.5,0.1,0.25
38.5,14.5,0.5,0.06,0.23
39.5,14.5,0.5,0.15,0.29
40.5,14.5,0.5,0.37,0.34
41.5,14.5,0.5,0.82,0.44
42.5,14.5,0.5,0.71,0.58
43.5,14.5,0.5,0.5,1.33
44.5,14.5,0.5,0.1,1.97
45.5,14.5,0.5,0.62,2.3
46.5,14.5,0.5,1.88,2.95
47.5,14.5,0.5,3.13,3.93
48.5,14.5,0.5,0.95,3.89
49.5,14.5,0.5,2.21,3.94
0.5,15.5,0.5,2.22,5.11
1.5,15.5,0.5,1.56,4.32
2.5,15.5,0.5,2.74,4.07
3.5,15.5,0.5,2.07,3.67
4.5,15.5,0.5,0.56,2.1
5.5,15.5,0.5,0.15,1.7
6.5,15.5,0.5,0.29,1.4
7.5,15.5,0.5,0.12,0.87
8.5,15.5,0.5,0.18,0.49
9.5,15.5,0.5,0.08,0.43
10.5,15.5,0.5,0.24,0.41
11.5,15.5,0.5,1.11,0.42
12.5,15.5,0.5,0.18,0.76
13.5,15.5,0.5,0.28,1.19
14.5,15.5,0.5,2.36,2.29
15.5,15.5,0.5,10.82,3.23
16.5,15.5,0.5,19.44,3.6
17.5,15.5,0.5,9.08,3.32
18.5,15.5,0.5,4.92,2.86
19.5,15.5,0.5,1.09,1.75
20.5,15.5,0.5,0.39,0.81
21.5,15.5,0.5,0.16,0.4
22.5,15.5,0.5,0.1,0.31
23.5,15.5,0.5,0.06,0.25
24.5,15.5,0.5,0.07,0.23
25.5,15.5,0.5,0.06,0.2
26.5,15.5,0.5,0.06,0.19
27.5,15.5,0.5,0.18,0.17
28.5,15.5,0.5,0.2,0.19
29.5,15.5,0.5,0.18,0.24
30.5,15.5,0.5,0.09,0.27
31.5,15.5,0.5,0.29,0.31
32.5,15.5,0.5,0.95,0.47
33.5,15.5,0.5,0.12,0.5
34.5,15.5,0.5,0.37,0.46
35.5,15.5,0.5,0.56,0.41
36.5,15.5,0.5,0.1,0.36
37.5,15.5,0.5,0.07,0.2
38.5,15.5,0.5,0.08,0.16
39.5,15.5,0.5,0.16,0.21
40.5,15.5,0.5,0.16,0.28
41.5,15.5,0.5,0.62,0.38
42.5,15.5,0.5,0.78,0.53
43.5,15.5,0.5,0.57,0.93
44.5,15.5,0.5,0.48,1.39
45.5,15.5,0.5,0.77,1.61
46.5,15.5,0.5,1.17,2.21
47.5,15.5,0.5,1.39,3.26
48.5,15.5,0.5,3.77,3.52
49.5,15.5,0.5,2.98,3.79
0.5,16.5,0.5,0.27,2.82
1.5,16.5,0.5,0.87,2.46
2.5,16.5,0.5,0.78,2.41
3.5,16.5,0.5,0.81,2.17
4.5,16.5,0.5,0.55,1.37
5.5,16.5,0.5,0.95,1.19
6.5,16.5,0.5,0.21,0.99
7.5,16.5,0.5,0.48,0.61
8.5,16.5,0.5,0.26,0.49
9.5,16.5,0.5,0.07,0.4
10.5,16.5,0.5,0.35,0.38
11.5,16.5,0.5,0.08,0.38
12.5,16.5,0.5,0.18,0.77
13.5,16.5,0.5,0.25,1.28
14.5,16.5,0.5,1.98,2.43
15.5,16.5,0.5,5.11,3.49
16.5,16.5,0.5,29.85,3.88
17.5,16.5,0.5,2.97,3.62
18.5,16.5,0.5,3.82,3.07
19.5,16.5,0.5,1.0,1.89
20.5,16.5,0.5,0.2,0.79
21.5,16.5,0.5,0.25,0.37
22.5,16.5,0.5,0.08,0.22
23.5,16.5,0.5,0.25,0.18
24.5,16.5,0.5,0.05,0.17
25.5,16.5,0.5,0.03,0.18
26.5,16.5,0.5,0.05,0.17
27.5,16.5,0.5,0.14,0.16
28.5,16.5,0.5,0.15,0.19
29.5,16.5,0.5,0.14,0.23
30.5,16.5,0.5,0.35,0.28
31.5,16.5,0.5,0.16,0.31
32.5,16.5,0.5,0.29,0.43
33.5,16.5,0.5,0.17,0.44
34.5,16.5,0.5,0.07,0.39
35.5,16.5,0.5,0.27,0.33
36.5,16.5,0.5,0.17,0.3
37.5,16.5,0.5,0.06,0.18
38.5,16.5,0.5,0.03,0.15
39.5,16.5,0.5,0.08,0.19
40.5,16.5,0.5,0.03,0.25
41.5,16.5,0.5,0.09,0.36
42.5,16.5,0.5,0.17,0.59
43.5,16.5,0.5,0.14,0.87
44.5,16.5,0.5,0.22,1.17
45.5,16.5,0.5,0.43,1.4
46.5,16.5,0.5,1.53,1.95
47.5,16.5,0.5,0.99,2.95
48.5,16.5,0.5,2.01,3.3
49.5,16.5,0.5,2.88,3.78
0.5,17.5,0.5,0.49,2.32
1.5,17.5,0.5,0.27,2.12
2.5,17.5,0.5,0.8,2.05
3.5,17.5,0.5,1.91,1.92
4.5,17.5,0.5,1.13,1.57
5.5,17.5,0.5,0.55,1.19
6.5,17.5,0.5,0.92,0.94
7.5,17.5,0.5,0.47,0.65
8.5,17.5,0.5,0.22,0.52
9.5,17.5,0.5,0.13,0.38
10.5,17.5,0.5,0.45,0.33
11.5,17.5,0.5,0.11,0.34
12.5,17.5,0.5,0.24,0.66
13.5,17.5,0.5,0.2,1.17
14.5,17.5,0.5,0.5,2.22
15.5,17.5,0.5,2.08,3.16
16.5,17.5,0.5,5.62,3.49
17.5,17.5,0.5,1.33,3.43
18.5,17.5,0.5,2.09,2.89
19.5,17.5,0.5,0.94,1.82
20.5,17.5,0.5,1.3,0.85
21.5,17.5,0.5,0.12,0.51
22.5,17.5,0.5,0.07,0.21
23.5,17.5,0.5,0.13,0.18
24.5,17.5,0.5,0.15,0.18
25.5,17.5,0.5,0.06,0.19
26.5,17.5,0.5,0.29,0.18
27.5,17.5,0.5,0.03,0.18
28.5,17.5,0.5,0.04,0.2
29.5,17.5,0.5,0.06,0.24
30.5,17.5,0.5,0.06,0.29
31.5,17.5,0.5,0.22,0.44
32.5,17.5,0.5,0.27,0.5
33.5,17.5,0.5,0.85,0.5
34.5,17.5,0.5,0.17,0.47
35.5,17.5,0.5,0.17,0.38
36.5,17.5,0.5,0.1,0.23
37.5,17.5,0.5,0.06,0.17
38.5,17.5,0.5,0.03,0.15
39.5,17.5,0.5,0.09,0.18
40.5,17.5,0.5,0.11,0.24
41.5,17.5,0.5,0.16,0.33
42.5,17.5,0.5,0.24,0.59
43.5,17.5,0.5,0.25,0.73
44.5,17.5,0.5,0.52,1.04
45.5,17.5,0.5,0.38,1.34
46.5,17.5,0.5,0.5,1.83
47.5,17.5,0.5,1.45,2.8
48.5,17.5,0.5,3.08,3.27
49.5,17.5,0.5,8.47,3.75
0.5,18.5,0.5,0.18,1.92
1.5,18.5,0.5,0.22,1.99
2.5,18.5,0.5,0.45,1.89
3.5,18.5,0.5,0.58,1.89
4.5,18.5,0.5,0.62,1.66
5.5,18.5,0.5,1.17,1.28
6.5,18.5,0.5,0.28,0.91
7.5,18.5,0.5,1.01,0.67
8.5,18.5,0.5,0.15,0.5
9.5,18.5,0.5,0.25,0.33
10.5,18.5,0.5,0.16,0.29
11.5,18.5,0.5,0.03,0.27
12.5,18.5,0.5,0.09,0.42
13.5,18.5,0.5,0.11,0.86
14.5,18.5,0.5,0.22,1.52
15.5,18.5,0.5,1.72,2.43
16.5,18.5,0.5,1.4,2.76
17.5,18.5,0.5,6.33,2.89
18.5,18.5,0.5,1.89,2.45
19.5,18.5,0.5,1.3,1.79
20.5,18.5,0.5,0.83,0.88
21.5,18.5,0.5,0.27,0.56
22.5,18.5,0.5,0.1,0.29
23.5,18.5,0.5,0.16,0.3
24.5,18.5,0.5,0.08,0.27
25.5,18.5,0.5,0.08,0.29
26.5,18.5,0.5,0.1,0.27
27.5,18.5,0.5,0.06,0.25
28.5,18.5,0.5,0.19,0.26
29.5,18.5,0.5,0.32,0.41
30.5,18.5,0.5,0.16,0.46
31.5,18.5,0.5,0.09,0.72
32.5,18.5,0.5,0.2,0.8
33.5,18.5,0.5,0.37,0.77
34.5,18.5,0.5,0.75,0.62
35.5,18.5,0.5,0.32,0.52
36.5,18.5,0.5,0.13,0.27
37.5,18.5,0.5,0.17,0.18
38.5,18.5,0.5,0.09,0.17
39.5,18.5,0.5,0.06,0.22
40.5,18.5,0.5,0.11,0.31
41.5,18.5,0.5,0.15,0.45
42.5,18.5,0.5,0.56,0.74
43.5,18.5,0.5,0.63,0.88
44.5,18.5,0.5,0.31,1.16
45.5,18.5,0.5,0.55,1.44
46.5,18.5,0.5,0.4,1.87
47.5,18.5,0.5,1.32,2.73
48.5,18.5,0.5,1.86,3.19
49.5,18.5,0.5,12.27,3.66
0.5,19.5,0.5,1.48,1.7
1.5,19.5,0.5,1.41,2.03
2.5,19.5,0.5,2.55,1.89
3.5,19.5,0.5,5.16,1.94
4.5,19.5,0.5,0.5,1.88
5.5,19.5,0.5,1.49,1.48
6.5,19.5,0.5,0.93,0.95
7.5,19.5,0.5,1.2,0.73
8.5,19.5,0.5,1.11,0.5
9.5,19.5,0.5,0.17,0.3
10.5,19.5,0.5,0.03,0.25
11.5,19.5,0.5,0.06,0.2
12.5,19.5,0.5,0.07,0.31
13.5,19.5,0.5,0.06,0.61
14.5,19.5,0.5,0.27,1.03
15.5,19.5,0.5,1.34,1.75
16.5,19.5,0.5,1.16,2.09
17.5,19.5,0.5,1.2,2.31
18.5,19.5,0.5,3.53,2.04
19.5,19.5,0.5,2.21,1.64
20.5,19.5,0.5,0.5,0.95
21.5,19.5,0.5,0.12,0.67
22.5,19.5,0.5,0.1,0.37
23.5,19.5,0.5,0.6,0.41
24.5,19.5,0.5,0.15,0.41
25.5,19.5,0.5,0.04,0.4
26.5,19.5,0.5,0.06,0.37
27.5,19.5,0.5,0.14,0.39
28.5,19.5,0.5,0.14,0.41
29.5,19.5,0.5,0.48,0.57
30.5,19.5,0.5,0.24,0.74
31.5,19.5,0.5,0.41,1.07
32.5,19.5,0.5,0.83,1.11
33.5,19.5,0.5,1.28,1.08
34.5,19.5,0.5,0.41,0.9
35.5,19.5,0.5,0.33,0.67
36.5,19.5,0.5,0.12,0.35
37.5,19.5,0.5,0.15,0.24
38.5,19.5,0.5,0.12,0.2
39.5,19.5,0.5,0.14,0.24
40.5,19.5,0.5,0.06,0.35
41.5,19.5,0.5,0.15,0.5
42.5,19.5,0.5,0.41,0.81
43.5,19.5,0.5,0.99,0.94
44.5,19.5,0.5,0.63,1.22
45.5,19.5,0.5,0.5,1.5
46.5,19.5,0.5,1.55,1.84
47.5,19.5,0.5,4.03,2.22
48.5,19.5,0.5,5.86,2.55
49.5,19.5,0.5,1.83,2.78
0.5,20.5,0.5,0.38,1.69
1.5,20.5,0.5,6.7,2.05
2.5,20.5,0.5,6.3,1.92
3.5,20.5,0.5,3.19,2.0
4.5,20.5,0.5,8.08,1.91
5.5,20.5,0.5,3.28,1.51
6.5,20.5,0.5,0.68,0.95
7.5,20.5,0.5,0.48,0.69
8.5,20.5,0.5,0.48,0.44
9.5,20.5,0.5,0.19,0.25
10.5,20.5,0.5,0.03,0.18
11.5,20.5,0.5,0.05,0.12
12.5,20.5,0.5,0.11,0.21
13.5,20.5,0.5,0.04,0.46
14.5,20.5,0.5,0.06,0.73
15.5,20.5,0.5,0.7,1.35
16.5,20.5,0.5,1.79,1.61
17.5,20.5,0.5,3.83,1.84
18.5,20.5,0.5,5.6,1.64
19.5,20.5,0.5,2.17,1.41
20.5,20.5,0.5,0.84,0.87
21.5,20.5,0.5,0.27,0.68
22.5,20.5,0.5,0.1,0.44
23.5,20.5,0.5,0.17,0.51
24.5,20.5,0.5,0.26,0.53
25.5,20.5,0.5,0.53,0.56
26.5,20.5,0.5,0.15,0.54
27.5,20.5,0.5,0.16,0.59
28.5,20.5,0.5,0.42,0.59
29.5,20.5,0.5,0.13,0.81
30.5,20.5,0.5,0.54,0.96
31.5,20.5,0.5,1.2,1.27
32.5,20.5,0.5,0.88,1.27
33.5,20.5,0.5,0.92,1.21
34.5,20.5,0.5,0.58,0.95
35.5,20.5,0.5,0.34,0.68
36.5,20.5,0.5,0.22,0.36
37.5,20.5,0.5,0.05,0.25
38.5,20.5,0.5,0.17,0.22
39.5,20.5,0.5,0.13,0.28
40.5,20.5,0.5,0.08,0.44
41.5,20.5,0.5,1.06,0.62
42.5,20.5,0.5,0.62,0.97
43.5,20.5,0.5,0.37,1.13
44.5,20.5,0.5,0.77,1.46
45.5,20.5,0.5,0.79,1.67
46.5,20.5,0.5,3.03,1.79
47.5,20.5,0.5,3.21,1.76
48.5,20.5,0.5,1.12,1.93
49.5,20.5,0.5,2.27,1.88
0.5,21.5,0.5,1.37,1.71
1.5,21.5,0.5,4.64,2.11
2.5,21.5,0.5,12.39,1.98
3.5,21.5,0.5,5.26,2.05
4.5,21.5,0.5,1.75,1.89
5.5,21.5,0.5,1.47,1.49
6.5,21.5,0.5,1.09,0.88
7.5,21.5,0.5,0.86,0.62
8.5,21.5,0.5,0.39,0.37
9.5,21.5,0.5,0.13,0.22
10.5,21.5,0.5,0.14,0.15
11.5,21.5,0.5,0.04,0.11
12.5,21.5,0.5,0.43,0.14
13.5,21.5,0.5,0.01,0.32
14.5,21.5,0.5,0.33,0.48
15.5,21.5,0.5,0.67,0.87
16.5,21.5,0.5,2.03,1.06
17.5,21.5,0.5,1.49,1.31
18.5,21.5,0.5,2.29,1.21
19.5,21.5,0.5,0.32,1.16
20.5,21.5,0.5,0.66,0.92
21.5,21.5,0.5,0.28,0.81
22.5,21.5,0.5,0.14,0.62
23.5,21.5,0.5,0.41,0.74
24.5,21.5,0.5,1.06,0.72
25.5,21.5,0.5,0.17,0.71
26.5,21.5,0.5,0.46,0.83
27.5,21.5,0.5,0.56,0.96
28.5,21.5,0.5,0.3,0.95
29.5,21.5,0.5,0.71,1.17
30.5,21.5,0.5,1.48,1.29
31.5,21.5,0.5,0.73,1.47
32.5,21.5,0.5,0.68,1.36
33.5,21.5,0.5,0.43,1.25
34.5,21.5,0.5,0.7,0.96
35.5,21.5,0.5,0.27,0.7
36.5,21.5,0.5,0.09,0.36
37.5,21.5,0.5,0.08,0.24
38.5,21.5,0.5,0.11,0.22
39.5,21.5,0.5,0.28,0.3
40.5,21.5,0.5,0.1,0.48
41.5,21.5,0.5,0.27,0.7
42.5,21.5,0.5,0.38,0.95
43.5,21.5,0.5,0.34,1.09
44.5,21.5,0.5,3.0,1.33
45.5,21.5,0.5,0.67,1.53
46.5,21.5,0.5,1.09,1.51
47.5,21.5,0.5,1.19,1.54
48.5,21.5,0.5,4.91,1.68
49.5,21.5,0.5,1.68,1.64
0.5,22.5,0.5,1.63,0.81
1.5,22.5,0.5,0.74,1.31
2.5,22.5,0.5,1.75,1.29
3.5,22.5,0.5,1.6,1.42
4.5,22.5,0.5,2.01,1.37
5.5,22.5,0.5,2.34,1.25
6.5,22.5,0.5,0.53,0.73
7.5,22.5,0.5,0.33,0.51
8.5,22.5,0.5,0.26,0.29
9.5,22.5,0.5,0.22,0.21
10.5,22.5,0.5,0.26,0.19
11.5,22.5,0.5,0.22,0.18
12.5,22.5,0.5,0.28,0.22
13.5,22.5,0.5,0.08,0.33
14.5,22.5,0.5,0.56,0.41
15.5,22.5,0.5,1.33,0.66
16.5,22.5,0.5,1.5,0.78
17.5,22.5,0.5,1.79,0.92
18.5,22.5,0.5,0.63,0.88
19.5,22.5,0.5,0.92,0.96
20.5,22.5,0.5,0.44,0.86
21.5,22.5,0.5,0.39,0.83
22.5,22.5,0.5,0.1,0.8
23.5,22.5,0.5,0.22,1.06
24.5,22.5,0.5,0.61,0.99
25.5,22.5,0.5,0.59,1.0
26.5,22.5,0.5,1.05,1.12
27.5,22.5,0.5,0.93,1.25
28.5,22.5,0.5,0.4,1.09
29.5,22.5,0.5,0.78,1.3
30.5,22.5,0.5,1.38,1.37
31.5,22.5,0.5,0.16,1.38
32.5,22.5,0.5,0.2,1.19
33.5,22.5,0.5,0.78,1.06
34.5,22.5,0.5,1.23,0.77
35.5,22.5,0.5,0.55,0.53
36.5,22.5,0.5,0.19,0.3
37.5,22.5,0.5,0.21,0.22
38.5,22.5,0.5,0.14,0.2
39.5,22.5,0.5,0.16,0.29
40.5,22.5,0.5,0.29,0.46
41.5,22.5,0.5,0.75,0.69
42.5,22.5,0.5,1.54,0.93
43.5,22.5,0.5,0.69,1.06
44.5,22.5,0.5,2.26,1.18
45.5,22.5,0.5,0.93,1.29
46.5,22.5,0.5,1.53,1.28
47.5,22.5,0.5,2.78,1.41
48.5,22.5,0.5,2.95,1.53
49.5,22.5,0.5,2.87,1.62
0.5,23.5,0.5,0.66,0.59
1.5,23.5,0.5,0.8,0.9
2.5,23.5,0.5,1.52,0.88
3.5,23.5,0.5,1.38,0.99
4.5,23.5,0.5,0.6,0.96
5.5,23.5,0.5,0.67,0.86
6.5,23.5,0.5,0.24,0.53
7.5,23.5,0.5,0.32,0.41
8.5,23.5,0.5,0.29,0.26
9.5,23.5,0.5,0.07,0.27
10.5,23.5,0.5,0.11,0.31
11.5,23.5,0.5,0.14,0.35
12.5,23.5,0.5,0.93,0.38
13.5,23.5,0.5,0.72,0.45
14.5,23.5,0.5,0.76,0.5
15.5,23.5,0.5,0.87,0.57
16.5,23.5,0.5,3.1,0.61
17.5,23.5,0.5,3.41,0.76
18.5,23.5,0.5,0.47,0.78
19.5,23.5,0.5,1.82,0.83
20.5,23.5,0.5,0.95,0.91
21.5,23.5,0.5,0.46,0.99
22.5,23.5,0.5,0.56,0.96
23.5,23.5,0.5,0.9,1.19
24.5,23.5,0.5,1.31,1.27
25.5,23.5,0.5,1.05,1.28
26.5,23.5,0.5,0.79,1.4
27.5,23.5,0.5,0.82,1.51
28.5,23.5,0.5,3.85,1.34
29.5,23.5,0.5,1.14,1.27
30.5,23.5,0.5,0.6,1.25
31.5,23.5,0.5,0.18,1.15
32.5,23.5,0.5,0.46,0.92
33.5,23.5,0.5,0.39,0.84
34.5,23.5,0.5,0.73,0.68
35.5,23.5,0.5,0.26,0.47
36.5,23.5,0.5,0.2,0.3
37.5,23.5,0.5,0.12,0.25
38.5,23.5,0.5,0.05,0.21
39.5,23.5,0.5,0.08,0.27
40.5,23.5,0.5,0.46,0.45
41.5,23.5,0.5,0.39,0.63
42.5,23.5,0.5,0.69,0.82
43.5,23.5,0.5,0.9,0.9
44.5,23.5,0.5,2.02,0.96
45.5,23.5,0.5,0.55,0.98
46.5,23.5,0.5,0.64,0.99
47.5,23.5,0.5,1.18,1.16
48.5,23.5,0.5,1.46,1.27
49.5,23.5,0.5,1.24,1.41
0.5,24.5,0.5,0.23,0.38
1.5,24.5,0.5,0.33,0.5
2.5,24.5,0.5,0.57,0.5
3.5,24.5,0.5,0.09,0.56
4.5,24.5,0.5,0.33,0.52
5.5,24.5,0.5,0.68,0.5
6.5,24.5,0.5,0.74,0.39
7.5,24.5,0.5,0.48,0.41
8.5,24.5,0.5,0.35,0.41
9.5,24.5,0.5,0.94,0.5
10.5,24.5,0.5,0.44,0.58
11.5,24.5,0.5,0.36,0.63
12.5,24.5,0.5,0.47,0.6
13.5,24.5,0.5,0.84,0.6
14.5,24.5,0.5,0.28,0.61
15.5,24.5,0.5,0.66,0.62
16.5,24.5,0.5,0.47,0.63
17.5,24.5,0.5,1.09,0.72
18.5,24.5,0.5,1.19,0.75
19.5,24.5,0.5,1.1,0.84
20.5,24.5,0.5,1.74,0.98
21.5,24.5,0.5,1.29,1.09
22.5,24.5,0.5,0.98,1.39
23.5,24.5,0.5,3.04,1.66
24.5,24.5,0.5,1.44,1.72
25.5,24.5,0.5,3.15,1.75
26.5,24.5,0.5,1.11,1.84
27.5,24.5,0.5,0.87,1.6
28.5,24.5,0.5,3.08,1.34
29.5,24.5,0.5,1.58,1.2
30.5,24.5,0.5,0.38,1.0
31.5,24.5,0.5,0.46,0.86
32.5,24.5,0.5,0.28,0.69
33.5,24.5,0.5,0.51,0.64
34.5,24.5,0.5,0.41,0.54
35.5,24.5,0.5,0.38,0.48
36.5,24.5,0.5,0.13,0.35
37.5,24.5,0.5,0.03,0.33
38.5,24.5,0.5,0.02,0.31
39.5,24.5,0.5,0.22,0.36
40.5,24.5,0.5,0.32,0.56
41.5,24.5,0.5,0.61,0.73
42.5,24.5,0.5,2.2,0.92
43.5,24.5,0.5,1.9,0.97
44.5,24.5,0.5,0.71,1.01
45.5,24.5,0.5,1.04,0.93
46.5,24.5,0.5,0.67,0.94
47.5,24.5,0.5,2.2,1.05
48.5,24.5,0.5,1.9,1.15
49.5,24.5,0.5,0.49,1.27
0.5,25.5,0.5,0.16,0.31
1.5,25.5,0.5,0.25,0.35
2.5,25.5,0.5,0.19,0.33
3.5,25.5,0.5,0.16,0.33
4.5,25.5,0.5,0.12,0.33
5.5,25.5,0.5,0.12,0.34
6.5,25.5,0.5,0.11,0.36
7.5,25.5,0.5,0.17,0.53
8.5,25.5,0.5,0.17,0.82
9.5,25.5,0.5,0.41,1.12
